500 124750
1 2 372
1 3 463
1 4 144
1 5 72
1 6 38
1 7 373
1 8 117
1 9 75
1 10 84
1 11 194
1 12 327
1 13 194
1 14 310
1 15 181
1 16 80
1 17 175
1 18 151
1 19 139
1 20 406
1 21 141
1 22 103
1 23 394
1 24 411
1 25 430
1 26 165
1 27 217
1 28 90
1 29 101
1 30 259
1 31 446
1 32 27
1 33 482
1 34 408
1 35 171
1 36 54
1 37 445
1 38 43
1 39 22
1 40 372
1 41 126
1 42 215
1 43 198
1 44 171
1 45 377
1 46 378
1 47 250
1 48 403
1 49 381
1 50 240
1 51 308
1 52 21
1 53 343
1 54 201
1 55 283
1 56 124
1 57 217
1 58 499
1 59 213
1 60 317
1 61 109
1 62 10
1 63 196
1 64 91
1 65 270
1 66 366
1 67 496
1 68 214
1 69 408
1 70 17
1 71 437
1 72 385
1 73 83
1 74 487
1 75 55
1 76 459
1 77 216
1 78 156
1 79 361
1 80 96
1 81 395
1 82 168
1 83 468
1 84 237
1 85 220
1 86 251
1 87 213
1 88 437
1 89 101
1 90 425
1 91 105
1 92 210
1 93 287
1 94 300
1 95 152
1 96 56
1 97 17
1 98 147
1 99 121
1 100 276
1 101 15
1 102 410
1 103 160
1 104 97
1 105 396
1 106 66
1 107 56
1 108 463
1 109 221
1 110 268
1 111 411
1 112 116
1 113 436
1 114 378
1 115 204
1 116 7
1 117 480
1 118 268
1 119 295
1 120 81
1 121 45
1 122 400
1 123 142
1 124 331
1 125 51
1 126 293
1 127 386
1 128 68
1 129 291
1 130 358
1 131 343
1 132 305
1 133 267
1 134 355
1 135 401
1 136 14
1 137 420
1 138 308
1 139 477
1 140 493
1 141 76
1 142 387
1 143 460
1 144 363
1 145 264
1 146 15
1 147 369
1 148 244
1 149 283
1 150 164
1 151 176
1 152 327
1 153 415
1 154 317
1 155 9
1 156 465
1 157 461
1 158 246
1 159 384
1 160 251
1 161 103
1 162 227
1 163 407
1 164 370
1 165 433
1 166 307
1 167 383
1 168 204
1 169 467
1 170 211
1 171 196
1 172 42
1 173 97
1 174 155
1 175 404
1 176 213
1 177 22
1 178 124
1 179 308
1 180 304
1 181 287
1 182 483
1 183 482
1 184 53
1 185 151
1 186 490
1 187 370
1 188 463
1 189 87
1 190 253
1 191 65
1 192 189
1 193 331
1 194 471
1 195 410
1 196 263
1 197 129
1 198 293
1 199 467
1 200 447
1 201 355
1 202 14
1 203 488
1 204 452
1 205 21
1 206 243
1 207 16
1 208 42
1 209 367
1 210 323
1 211 197
1 212 5
1 213 157
1 214 178
1 215 410
1 216 159
1 217 19
1 218 279
1 219 473
1 220 105
1 221 31
1 222 37
1 223 293
1 224 362
1 225 359
1 226 55
1 227 476
1 228 339
1 229 347
1 230 294
1 231 286
1 232 201
1 233 308
1 234 125
1 235 4
1 236 328
1 237 368
1 238 19
1 239 221
1 240 86
1 241 193
1 242 417
1 243 442
1 244 349
1 245 446
1 246 351
1 247 359
1 248 464
1 249 481
1 250 331
1 251 68
1 252 12
1 253 219
1 254 212
1 255 225
1 256 77
1 257 266
1 258 200
1 259 268
1 260 464
1 261 346
1 262 53
1 263 17
1 264 153
1 265 29
1 266 372
1 267 332
1 268 248
1 269 243
1 270 404
1 271 185
1 272 435
1 273 320
1 274 127
1 275 136
1 276 265
1 277 329
1 278 494
1 279 80
1 280 310
1 281 177
1 282 147
1 283 173
1 284 395
1 285 210
1 286 397
1 287 324
1 288 328
1 289 448
1 290 91
1 291 143
1 292 293
1 293 495
1 294 11
1 295 297
1 296 375
1 297 383
1 298 480
1 299 123
1 300 125
1 301 383
1 302 307
1 303 411
1 304 54
1 305 285
1 306 46
1 307 318
1 308 114
1 309 392
1 310 397
1 311 275
1 312 68
1 313 395
1 314 447
1 315 314
1 316 457
1 317 195
1 318 137
1 319 136
1 320 142
1 321 79
1 322 278
1 323 287
1 324 425
1 325 289
1 326 83
1 327 300
1 328 23
1 329 63
1 330 422
1 331 147
1 332 297
1 333 228
1 334 57
1 335 351
1 336 13
1 337 455
1 338 20
1 339 478
1 340 346
1 341 269
1 342 104
1 343 413
1 344 15
1 345 50
1 346 78
1 347 323
1 348 244
1 349 215
1 350 458
1 351 237
1 352 145
1 353 88
1 354 23
1 355 70
1 356 376
1 357 458
1 358 369
1 359 250
1 360 372
1 361 142
1 362 396
1 363 168
1 364 221
1 365 304
1 366 370
1 367 233
1 368 110
1 369 242
1 370 62
1 371 455
1 372 10
1 373 165
1 374 219
1 375 376
1 376 66
1 377 297
1 378 199
1 379 161
1 380 363
1 381 156
1 382 398
1 383 7
1 384 95
1 385 272
1 386 428
1 387 322
1 388 229
1 389 296
1 390 71
1 391 100
1 392 289
1 393 318
1 394 268
1 395 10
1 396 474
1 397 489
1 398 94
1 399 83
1 400 230
1 401 156
1 402 38
1 403 239
1 404 172
1 405 108
1 406 115
1 407 238
1 408 256
1 409 165
1 410 398
1 411 118
1 412 172
1 413 147
1 414 125
1 415 267
1 416 419
1 417 52
1 418 88
1 419 147
1 420 200
1 421 159
1 422 247
1 423 488
1 424 476
1 425 366
1 426 349
1 427 449
1 428 354
1 429 443
1 430 32
1 431 436
1 432 98
1 433 421
1 434 26
1 435 121
1 436 28
1 437 492
1 438 358
1 439 136
1 440 156
1 441 108
1 442 253
1 443 328
1 444 254
1 445 229
1 446 94
1 447 172
1 448 133
1 449 181
1 450 171
1 451 332
1 452 191
1 453 417
1 454 171
1 455 19
1 456 134
1 457 20
1 458 467
1 459 339
1 460 314
1 461 350
1 462 274
1 463 263
1 464 122
1 465 300
1 466 383
1 467 2
1 468 291
1 469 241
1 470 137
1 471 299
1 472 348
1 473 389
1 474 126
1 475 453
1 476 118
1 477 71
1 478 125
1 479 250
1 480 103
1 481 295
1 482 433
1 483 294
1 484 63
1 485 455
1 486 312
1 487 48
1 488 326
1 489 130
1 490 386
1 491 139
1 492 480
1 493 12
1 494 401
1 495 101
1 496 163
1 497 284
1 498 102
1 499 305
1 500 376
2 3 238
2 4 103
2 5 75
2 6 479
2 7 228
2 8 27
2 9 96
2 10 150
2 11 3
2 12 197
2 13 253
2 14 149
2 15 481
2 16 46
2 17 63
2 18 435
2 19 209
2 20 110
2 21 261
2 22 338
2 23 348
2 24 399
2 25 169
2 26 211
2 27 152
2 28 122
2 29 373
2 30 287
2 31 75
2 32 177
2 33 14
2 34 165
2 35 280
2 36 88
2 37 143
2 38 359
2 39 466
2 40 90
2 41 9
2 42 321
2 43 286
2 44 113
2 45 321
2 46 266
2 47 10
2 48 384
2 49 200
2 50 218
2 51 345
2 52 312
2 53 407
2 54 44
2 55 211
2 56 428
2 57 254
2 58 214
2 59 49
2 60 126
2 61 500
2 62 123
2 63 155
2 64 13
2 65 287
2 66 286
2 67 452
2 68 281
2 69 496
2 70 269
2 71 370
2 72 356
2 73 89
2 74 7
2 75 468
2 76 410
2 77 272
2 78 477
2 79 145
2 80 324
2 81 46
2 82 489
2 83 135
2 84 305
2 85 33
2 86 197
2 87 232
2 88 138
2 89 262
2 90 132
2 91 116
2 92 261
2 93 106
2 94 270
2 95 125
2 96 245
2 97 407
2 98 428
2 99 25
2 100 402
2 101 197
2 102 395
2 103 258
2 104 137
2 105 401
2 106 77
2 107 46
2 108 25
2 109 406
2 110 42
2 111 200
2 112 303
2 113 383
2 114 186
2 115 107
2 116 267
2 117 235
2 118 190
2 119 404
2 120 496
2 121 321
2 122 19
2 123 109
2 124 427
2 125 140
2 126 233
2 127 171
2 128 46
2 129 161
2 130 195
2 131 448
2 132 209
2 133 441
2 134 57
2 135 345
2 136 194
2 137 133
2 138 243
2 139 218
2 140 390
2 141 284
2 142 417
2 143 193
2 144 18
2 145 102
2 146 299
2 147 284
2 148 336
2 149 489
2 150 188
2 151 184
2 152 161
2 153 58
2 154 292
2 155 87
2 156 198
2 157 376
2 158 109
2 159 243
2 160 388
2 161 156
2 162 42
2 163 96
2 164 96
2 165 450
2 166 293
2 167 141
2 168 435
2 169 35
2 170 358
2 171 324
2 172 170
2 173 126
